datetime,open,high,low,close,volume
2026-07-06 17:00:00,4155.08,4161.61,4150.44,4161.49,0
2026-07-06 18:00:00,4161.34,4167.53,4155.48,4163.89,0
2026-07-06 19:00:00,4163.93,4165.41,4158.93,4163.77,0
2026-07-06 20:00:00,4163.86,4165.25,4160.83,4165.23,0
2026-07-06 22:00:00,4165.21,4168.53,4163.83,4164.59,0
2026-07-06 23:00:00,4164.35,4165.76,4157.04,4157.43,0
2026-07-07 00:00:00,4157.41,4162.71,4145.38,4146.05,0
2026-07-07 01:00:00,4146.14,4148.07,4126.25,4141.94,0
2026-07-07 02:00:00,4141.98,4145.4,4131.51,4136.64,0
2026-07-07 03:00:00,4136.78,4140.1,4124.69,4131.2,0
2026-07-07 04:00:00,4131.22,4141.32,4126.09,4126.82,0
2026-07-07 05:00:00,4126.83,4131.38,4117.18,4124.04,0
2026-07-07 06:00:00,4124.09,4132.98,4121.7,4130.55,0
2026-07-07 07:00:00,4130.5,4133.65,4124.5,4125.05,0
2026-07-07 08:00:00,4124.93,4139.11,4122.15,4126.14,0
2026-07-07 09:00:00,4126.11,4133.83,4119.96,4131.21,0
2026-07-07 10:00:00,4131.27,4138.96,4131.27,4135.54,0
2026-07-07 11:00:00,4135.79,4158.2,4132.01,4156.8,0
2026-07-07 12:00:00,4156.95,4174.75,4154.86,4172.3,0
2026-07-07 13:00:00,4172.29,4180.34,4156.28,4158.81,0
2026-07-07 14:00:00,4158.72,4163.34,4143.82,4154.42,0
2026-07-07 15:00:00,4154.32,4155.46,4135.98,4139.05,0
2026-07-07 16:00:00,4139.07,4147.29,4137.08,4145.09,0
2026-07-07 17:00:00,4145.14,4148.3,4140.86,4144.65,0
2026-07-07 18:00:00,4144.64,4145.27,4125.25,4126.96,0
2026-07-07 19:00:00,4127.1,4127.68,4092.36,4114.69,0
2026-07-07 20:00:00,4114.28,4115.88,4103.62,4106.24,0
2026-07-07 22:00:00,4099.56,4106.27,4094.25,4098.78,0
2026-07-07 23:00:00,4098.58,4107.91,4096.26,4098.43,0
2026-07-08 00:00:00,4098.66,4126.37,4097.26,4111.56,0
2026-07-08 01:00:00,4111.62,4117.82,4096.59,4111.4,0
2026-07-08 02:00:00,4111.28,4124.93,4106.13,4114.63,0
2026-07-08 03:00:00,4114.66,4131.05,4114.66,4123.79,0
2026-07-08 04:00:00,4123.6,4129.0,4120.72,4125.22,0
2026-07-08 05:00:00,4125.23,4133.97,4121.79,4127.71,0
2026-07-08 06:00:00,4127.92,4133.54,4122.27,4123.65,0
2026-07-08 07:00:00,4123.67,4127.24,4114.97,4120.88,0
2026-07-08 08:00:00,4121.24,4121.24,4052.49,4057.04,0
2026-07-08 09:00:00,4056.82,4061.01,4041.58,4043.41,0
2026-07-08 10:00:00,4043.43,4058.29,4040.8,4053.16,0
2026-07-08 11:00:00,4053.15,4072.53,4042.01,4062.06,0
2026-07-08 12:00:00,4062.21,4086.08,4059.01,4072.15,0
2026-07-08 13:00:00,4072.34,4082.93,4065.58,4070.84,0
2026-07-08 14:00:00,4070.91,4071.53,4034.21,4041.17,0
2026-07-08 15:00:00,4040.98,4043.67,4021.92,4034.42,0
2026-07-08 16:00:00,4034.31,4064.43,4033.4,4063.72,0
2026-07-08 17:00:00,4063.78,4076.36,4059.84,4066.24,0
2026-07-08 18:00:00,4065.74,4091.38,4063.84,4084.12,0
2026-07-08 19:00:00,4084.38,4091.3,4078.81,4080.21,0
2026-07-08 20:00:00,4080.18,4083.56,4071.63,4077.43,0
2026-07-08 22:00:00,4076.35,4080.66,4072.42,4076.66,0
2026-07-08 23:00:00,4076.64,4077.83,4072.08,4076.29,0
2026-07-09 00:00:00,4076.27,4089.53,4070.53,4074.11,0
2026-07-09 01:00:00,4074.15,4078.79,4062.5,4073.04,0
2026-07-09 02:00:00,4072.98,4082.73,4064.64,4065.14,0
2026-07-09 03:00:00,4065.14,4067.65,4054.4,4064.06,0
2026-07-09 04:00:00,4064.21,4064.6,4056.67,4064.52,0
2026-07-09 05:00:00,4064.4,4084.27,4063.84,4082.08,0
2026-07-09 06:00:00,4082.04,4108.1,4081.86,4108.1,0
2026-07-09 07:00:00,4108.02,4111.17,4101.65,4108.15,0
2026-07-09 08:00:00,4108.02,4117.75,4105.41,4108.42,0
2026-07-09 09:00:00,4108.41,4112.03,4103.33,4106.47,0
2026-07-09 10:00:00,4106.39,4110.09,4094.26,4099.15,0
2026-07-09 11:00:00,4099.15,4110.54,4098.04,4108.85,0
2026-07-09 12:00:00,4108.73,4122.55,4105.27,4107.9,0
2026-07-09 13:00:00,4107.81,4129.57,4106.94,4121.98,0
2026-07-09 14:00:00,4121.99,4135.98,4114.49,4127.88,0
2026-07-09 15:00:00,4127.84,4132.77,4124.94,4127.15,0
2026-07-09 16:00:00,4126.96,4138.01,4125.79,4128.6,0
2026-07-09 17:00:00,4128.19,4138.06,4125.18,4136.25,0
2026-07-09 18:00:00,4136.25,4136.41,4121.65,4124.61,0
2026-07-09 19:00:00,4124.6,4127.03,4119.25,4122.71,0
