datetime,open,high,low,close,volume
2026-07-06 20:00:00,1.14411,1.1442,1.14397,1.14417,0
2026-07-06 21:00:00,1.14416,1.14462,1.14415,1.1446,0
2026-07-06 22:00:00,1.1446,1.1446,1.14424,1.14451,0
2026-07-06 23:00:00,1.14452,1.14476,1.14413,1.14414,0
2026-07-07 00:00:00,1.14415,1.14424,1.14382,1.14387,0
2026-07-07 01:00:00,1.14387,1.14475,1.14371,1.1444,0
2026-07-07 02:00:00,1.1444,1.14462,1.14396,1.14396,0
2026-07-07 03:00:00,1.14396,1.14428,1.14362,1.14369,0
2026-07-07 04:00:00,1.14369,1.14394,1.14356,1.14357,0
2026-07-07 05:00:00,1.14357,1.14374,1.14283,1.14319,0
2026-07-07 06:00:00,1.1432,1.14323,1.14254,1.14298,0
2026-07-07 07:00:00,1.14299,1.14321,1.14251,1.14253,0
2026-07-07 08:00:00,1.14253,1.14358,1.1425,1.14279,0
2026-07-07 09:00:00,1.14279,1.14301,1.14248,1.14251,0
2026-07-07 10:00:00,1.14251,1.14342,1.14236,1.14338,0
2026-07-07 11:00:00,1.14339,1.14392,1.14255,1.14325,0
2026-07-07 12:00:00,1.14325,1.14421,1.1431,1.14366,0
2026-07-07 13:00:00,1.14366,1.14419,1.14305,1.14363,0
2026-07-07 14:00:00,1.14364,1.14379,1.14239,1.14331,0
2026-07-07 15:00:00,1.14331,1.14349,1.14222,1.14229,0
2026-07-07 16:00:00,1.14229,1.14257,1.14181,1.14236,0
2026-07-07 17:00:00,1.14236,1.14294,1.14223,1.14283,0
2026-07-07 18:00:00,1.14283,1.14299,1.14175,1.14185,0
2026-07-07 19:00:00,1.14185,1.14193,1.14086,1.14165,0
2026-07-07 20:00:00,1.14167,1.14173,1.14104,1.1412,0
2026-07-07 21:00:00,1.14119,1.14179,1.14025,1.14072,0
2026-07-07 22:00:00,1.14072,1.14091,1.14032,1.1407,0
2026-07-07 23:00:00,1.1407,1.14084,1.14001,1.14015,0
2026-07-08 00:00:00,1.14015,1.14116,1.14005,1.14079,0
2026-07-08 01:00:00,1.1408,1.14094,1.13987,1.14056,0
2026-07-08 02:00:00,1.14055,1.14126,1.14048,1.14113,0
2026-07-08 03:00:00,1.14113,1.14166,1.14113,1.14145,0
2026-07-08 04:00:00,1.14145,1.14159,1.14111,1.14145,0
2026-07-08 05:00:00,1.14145,1.14207,1.14125,1.14196,0
2026-07-08 06:00:00,1.14196,1.1424,1.14173,1.14225,0
2026-07-08 07:00:00,1.14225,1.14317,1.14171,1.14258,0
2026-07-08 08:00:00,1.14258,1.14277,1.1401,1.14104,0
2026-07-08 09:00:00,1.14103,1.14116,1.13962,1.14044,0
2026-07-08 10:00:00,1.14044,1.14148,1.14012,1.14085,0
2026-07-08 11:00:00,1.14086,1.14097,1.13932,1.13984,0
2026-07-08 12:00:00,1.13984,1.1407,1.13958,1.13962,0
2026-07-08 13:00:00,1.13963,1.14138,1.13962,1.141,0
2026-07-08 14:00:00,1.14099,1.14134,1.14034,1.14075,0
