datetime,open,high,low,close,volume
2026-07-13 18:00:00,61877.527,62077.592,61806.043,61998.595,0
2026-07-13 19:00:00,61998.595,62266.961,61962.178,62261.602,0
2026-07-13 20:00:00,62257.903,62299.449,62025.287,62179.083,0
2026-07-13 21:00:00,62179.313,62190.446,61867.837,62034.037,0
2026-07-13 22:00:00,62034.344,62199.12,61883.114,61897.886,0
2026-07-13 23:00:00,61897.885,62320.115,61854.776,62307.186,0
2026-07-14 00:00:00,62307.242,62631.803,62240.886,62521.302,0
2026-07-14 01:00:00,62521.301,62614.869,62426.753,62505.245,0
2026-07-14 02:00:00,62505.244,62610.373,62290.2,62517.364,0
2026-07-14 03:00:00,62517.361,62576.749,62283.582,62538.25,0
2026-07-14 04:00:00,62538.25,62742.179,62510.551,62716.779,0
2026-07-14 05:00:00,62712.056,62848.032,62669.533,62699.702,0
2026-07-14 06:00:00,62699.706,62750.679,62544.395,62599.449,0
2026-07-14 07:00:00,62599.454,62633.485,62489.75,62529.582,0
2026-07-14 08:00:00,62529.582,62780.001,62469.407,62680.099,0
2026-07-14 09:00:00,62680.1,62719.715,62502.06,62604.914,0
2026-07-14 10:00:00,62604.914,62879.105,62577.525,62768.093,0
2026-07-14 11:00:00,62768.108,62896.38,62682.203,62810.161,0
2026-07-14 12:00:00,62810.25,63950.098,62756.088,63931.065,0
2026-07-14 13:00:00,63934.045,64146.009,63666.283,63803.163,0
2026-07-14 14:00:00,63803.18,64301.5,63572.678,64284.437,0
2026-07-14 15:00:00,64276.968,64941.12,64165.732,64727.496,0
2026-07-14 16:00:00,64727.482,64879.096,64598.727,64703.859,0
2026-07-14 17:00:00,64703.903,64703.903,64249.115,64597.67,0
2026-07-14 18:00:00,64597.566,64629.374,64449.535,64544.487,0
2026-07-14 19:00:00,64544.223,64681.617,64456.096,64536.283,0
2026-07-14 20:00:00,64537.901,64575.703,64390.245,64538.359,0
2026-07-14 21:00:00,64538.359,64868.069,64495.627,64649.95,0
2026-07-14 22:00:00,64649.95,65102.6,64490.848,64837.076,0
2026-07-14 23:00:00,64837.077,65027.957,64750.595,65014.264,0
2026-07-15 00:00:00,65014.198,65039.756,64743.508,64797.669,0
2026-07-15 01:00:00,64797.71,64830.271,64618.646,64644.275,0
2026-07-15 02:00:00,64644.318,64732.286,64460.128,64473.097,0
2026-07-15 03:00:00,64473.097,64820.099,64473.05,64760.853,0
2026-07-15 04:00:00,64760.821,64862.049,64686.488,64723.598,0
2026-07-15 05:00:00,64723.662,64941.777,64579.765,64911.021,0
2026-07-15 06:00:00,64920.706,65244.261,64786.363,64787.153,0
2026-07-15 07:00:00,64784.729,64849.95,64453.095,64528.06,0
2026-07-15 08:00:00,64529.555,64761.856,64529.555,64745.481,0
2026-07-15 09:00:00,64746.389,64898.089,64626.278,64644.816,0
2026-07-15 10:00:00,64644.81,64827.424,64582.451,64632.596,0
2026-07-15 11:00:00,64632.57,64727.307,64588.828,64707.927,0
2026-07-15 12:00:00,64708.036,65232.065,64573.674,65133.758,0
2026-07-15 13:00:00,65133.735,65540.803,64852.531,65090.42,0
2026-07-15 14:00:00,65090.482,65496.301,65033.881,65365.153,0
2026-07-15 15:00:00,65365.149,65556.282,65229.338,65391.751,0
2026-07-15 16:00:00,65391.853,65438.644,64752.01,65089.941,0
2026-07-15 17:00:00,65089.984,65148.15,64939.501,65022.856,0
2026-07-15 18:00:00,65022.572,65112.384,64817.106,64833.4,0
2026-07-15 19:00:00,64837.842,64968.111,64713.046,64935.639,0
2026-07-15 20:00:00,64942.356,65029.528,64879.959,64939.825,0
2026-07-15 21:00:00,64940.002,64987.125,64757.006,64799.95,0
2026-07-15 22:00:00,64799.95,64936.448,64738.862,64831.799,0
2026-07-15 23:00:00,64831.804,64912.702,64674.946,64720.993,0
2026-07-16 00:00:00,64720.977,64814.698,64465.642,64552.461,0
2026-07-16 01:00:00,64554.486,64806.475,64362.234,64698.65,0
2026-07-16 02:00:00,64698.65,64705.011,64549.581,64614.801,0
2026-07-16 03:00:00,64614.811,64721.554,64520.72,64593.672,0
2026-07-16 04:00:00,64593.674,64667.146,64511.844,64604.77,0
2026-07-16 05:00:00,64611.003,64974.512,64574.083,64897.901,0
2026-07-16 06:00:00,64897.902,64951.249,64603.382,64750.054,0
2026-07-16 07:00:00,64750.053,64750.097,64045.321,64202.572,0
2026-07-16 08:00:00,64200.432,64340.245,63854.076,64096.084,0
2026-07-16 09:00:00,64096.549,64156.263,63988.306,64064.335,0
